Angle,Intensity
7.453702594,370
7.462058229,378
7.470413863,414
7.478769498,384
7.487125132,371
7.495480767,379
7.503836401,365
7.512192036,416
7.52054767,375
7.528903305,394
7.53725894,405
7.545614574,430
7.553970209,384
7.562325843,350
7.570681478,354
7.579037112,390
7.587392747,388
7.595748381,371
7.604104016,387
7.61245965,402
7.620815285,381
7.629170919,363
7.637526554,387
7.645882188,376
7.654237823,384
7.662593458,391
7.670949092,363
7.679304727,356
7.687660361,394
7.696015996,399
7.70437163,386
7.712727265,382
7.721082899,378
7.729438534,363
7.737794168,357
7.746149803,384
7.754505437,416
7.762861072,397
7.771216706,385
7.779572341,399
7.787927976,384
7.79628361,395
7.804639245,382
7.812994879,406
7.821350514,384
7.829706148,375
7.838061783,402
7.846417417,324
7.854773052,365
7.863128686,360
7.871484321,344
7.879839955,381
7.88819559,378
7.896551224,367
7.904906859,385
7.913262494,360
7.921618128,362
7.929973763,394
7.938329397,392
7.946685032,363
7.955040666,381
7.963396301,338
7.971751935,373
7.98010757,363
7.988463204,377
7.996818839,391
8.005174473,351
8.013530108,368
8.021885742,366
8.030241377,405
8.038597012,336
8.046952646,376
8.055308281,342
8.063663915,418
8.07201955,390
8.080375184,370
8.088730819,368
8.097086453,397
8.105442088,371
8.113797722,360
8.122153357,344
8.130508991,371
8.138864626,348
8.14722026,358
8.155575895,372
8.16393153,366
8.172287164,354
8.180642799,375
8.188998433,385
8.197354068,339
8.205709702,344
8.214065337,366
8.222420971,378
8.230776606,371
8.23913224,387
8.247487875,381
8.255843509,351
8.264199144,353
8.272554778,368
8.280910413,368
8.289266048,402
8.297621682,370
8.305977317,384
8.314332951,351
8.322688586,390
8.33104422,358
8.339399855,356
8.347755489,359
8.356111124,369
8.364466758,372
8.372822393,366
8.381178027,351
8.389533662,350
8.397889296,354
8.406244931,369
8.414600566,336
8.4229562,369
8.431311835,337
8.439667469,342
8.448023104,358
8.456378738,344
8.464734373,341
8.473090007,349
8.481445642,366
8.489801276,331
8.498156911,360
8.506512545,350
8.51486818,349
8.523223814,381
8.531579449,368
8.539935084,358
8.548290718,353
8.556646353,371
8.565001987,356
8.573357622,324
8.581713256,323
8.590068891,319
8.598424525,331
8.60678016,367
8.615135794,377
8.623491429,325
8.631847063,331
8.640202698,365
8.648558332,356
8.656913967,343
8.665269602,328
8.673625236,340
8.681980871,369
8.690336505,339
8.69869214,368
8.707047774,354
8.715403409,373
8.723759043,308
8.732114678,340
8.740470312,351
8.748825947,329
8.757181581,368
8.765537216,361
8.77389285,313
8.782248485,346
8.79060412,363
8.798959754,372
8.807315389,324
8.815671023,324
8.824026658,348
8.832382292,395
8.840737927,328
8.849093561,344
8.857449196,356
8.86580483,349
8.874160465,368
8.882516099,387
8.890871734,366
8.899227368,337
8.907583003,351
8.915938638,362
8.924294272,352
8.932649907,343
8.941005541,347
8.949361176,328
8.95771681,303
