Angle,Intensity
5.99617782,904
6.004533455,841
6.012889089,904
6.021244724,894
6.029600358,824
6.037955993,854
6.046311627,889
6.054667262,903
6.063022896,871
6.071378531,921
6.079734165,889
6.0880898,854
6.096445434,808
6.104801069,857
6.113156703,816
6.121512338,822
6.129867973,866
6.138223607,870
6.146579242,813
6.154934876,798
6.163290511,853
6.171646145,783
6.18000178,773
6.188357414,850
6.196713049,795
6.205068683,796
6.213424318,773
6.221779952,856
6.230135587,813
6.238491221,794
6.246846856,812
6.255202491,809
6.263558125,813
6.27191376,801
6.280269394,771
6.288625029,793
6.296980663,818
6.305336298,742
6.313691932,797
6.322047567,803
6.330403201,795
6.338758836,798
6.34711447,743
6.355470105,818
6.363825739,794
6.372181374,769
6.380537009,747
6.388892643,766
6.397248278,753
6.405603912,808
6.413959547,758
6.422315181,761
6.430670816,792
6.43902645,805
6.447382085,812
6.455737719,758
6.464093354,776
6.472448988,699
6.480804623,687
6.489160257,775
6.497515892,712
6.505871527,761
6.514227161,757
6.522582796,748
6.53093843,734
6.539294065,717
6.547649699,741
6.556005334,807
6.564360968,758
6.572716603,740
6.581072237,681
6.589427872,689
6.597783506,761
6.606139141,683
6.614494775,723
6.62285041,733
6.631206045,688
6.639561679,702
6.647917314,705
6.656272948,705
6.664628583,750
6.672984217,716
6.681339852,738
6.689695486,718
6.698051121,713
6.706406755,679
6.71476239,727
6.723118024,658
6.731473659,743
6.739829293,753
6.748184928,680
6.756540563,656
6.764896197,685
6.773251832,696
6.781607466,720
6.789963101,678
6.798318735,736
6.80667437,670
6.815030004,651
6.823385639,668
6.831741273,672
6.840096908,654
6.848452542,690
6.856808177,672
6.865163811,640
6.873519446,656
6.88187508,699
6.890230715,665
6.89858635,645
6.906941984,649
6.915297619,656
6.923653253,614
6.932008888,641
6.940364522,636
6.948720157,687
6.957075791,647
6.965431426,621
6.97378706,601
6.982142695,655
6.990498329,616
6.998853964,631
7.007209598,582
7.015565233,582
7.023920868,670
7.032276502,636
7.040632137,633
7.048987771,609
7.057343406,654
7.06569904,622
7.074054675,582
7.082410309,603
7.090765944,605
7.099121578,674
7.107477213,649
7.115832847,643
7.124188482,610
7.132544116,600
7.140899751,600
7.149255386,571
7.15761102,624
7.165966655,615
7.174322289,649
7.182677924,608
7.191033558,644
7.199389193,587
7.207744827,602
7.216100462,605
7.224456096,603
7.232811731,585
7.241167365,548
7.249523,564
7.257878634,605
7.266234269,593
7.274589904,552
7.282945538,563
7.291301173,566
7.299656807,551
7.308012442,609
7.316368076,592
7.324723711,588
7.333079345,557
7.34143498,590
7.349790614,560
7.358146249,584
7.366501883,572
7.374857518,566
7.383213152,523
7.391568787,593
7.399924422,577
7.408280056,611
7.416635691,599
7.424991325,556
7.43334696,561
7.441702594,635
7.450058229,584
7.458413863,590
7.466769498,573
7.475125132,590
7.483480767,600
7.491836401,564
7.500192036,587
7.50854767,635
7.516903305,623
7.52525894,588
7.533614574,544
7.541970209,580
7.550325843,570
7.558681478,563
7.567037112,555
7.575392747,577
7.583748381,589
7.592104016,558
7.60045965,560
7.608815285,600
7.617170919,552
7.625526554,561
7.633882188,541
7.642237823,523
7.650593458,574
7.658949092,561
7.667304727,572
7.675660361,556
7.684015996,587
7.69237163,516
7.700727265,558
7.709082899,571
7.717438534,557
7.725794168,561
7.734149803,601
7.742505437,578
7.750861072,540
7.759216706,532
7.767572341,519
7.775927976,570
7.78428361,553
7.792639245,528
7.800994879,576
7.809350514,551
7.817706148,569
7.826061783,514
7.834417417,534
7.842773052,561
7.851128686,544
7.859484321,537
7.867839955,563
7.87619559,529
7.884551224,561
7.892906859,521
7.901262494,603
7.909618128,518
7.917973763,563
7.926329397,516
7.934685032,512
7.943040666,521
7.951396301,581
7.959751935,541
7.96810757,559
7.976463204,544
7.984818839,571
7.993174473,530
8.001530108,562
8.009885742,528
8.018241377,573
8.026597012,557
8.034952646,539
8.043308281,564
8.051663915,602
8.06001955,534
8.068375184,569
8.076730819,584
8.085086453,534
8.093442088,549
8.101797722,532
8.110153357,545
8.118508991,550
8.126864626,546
8.13522026,535
8.143575895,531
8.15193153,529
8.160287164,525
8.168642799,524
8.176998433,572
8.185354068,520
8.193709702,568
8.202065337,483
8.210420971,580
8.218776606,520
8.22713224,555
8.235487875,546
8.243843509,503
8.252199144,558
8.260554778,572
8.268910413,499
8.277266048,518
8.285621682,563
8.293977317,525
8.302332951,567
8.310688586,595
8.31904422,540
8.327399855,537
8.335755489,539
8.344111124,577
8.352466758,534
8.360822393,524
8.369178027,528
8.377533662,583
8.385889296,531
8.394244931,570
8.402600565,504
8.4109562,571
8.419311835,538
8.427667469,513
8.436023104,503
8.444378738,526
8.452734373,537
8.461090007,547
8.469445642,567
8.477801276,561
8.486156911,518
8.494512545,505
8.50286818,525
8.511223814,504
8.519579449,611
8.527935083,561
8.536290718,503
8.544646353,529
8.553001987,491
8.561357622,540
8.569713256,468
8.578068891,560
8.586424525,496
8.59478016,545
8.603135794,472
8.611491429,523
8.619847063,561
8.628202698,552
8.636558332,548
8.644913967,516
8.653269601,540
8.661625236,528
8.669980871,503
8.678336505,539
8.68669214,544
8.695047774,488
8.703403409,556
8.711759043,572
8.720114678,541
8.728470312,553
8.736825947,540
8.745181581,551
8.753537216,532
8.76189285,486
8.770248485,573
8.778604119,564
8.786959754,585
8.795315389,525
8.803671023,561
8.812026658,529
8.820382292,525
8.828737927,540
8.837093561,530
8.845449196,512
8.85380483,548
8.862160465,563
8.870516099,576
8.878871734,581
8.887227368,567
8.895583003,545
8.903938637,526
8.912294272,576
8.920649907,535
8.929005541,589
8.937361176,579
8.94571681,519
8.954072445,567
8.962428079,550
8.970783714,546
8.979139348,557
8.987494983,531
8.995850617,579
9.004206252,577
9.012561886,568
9.020917521,512
9.029273155,553
9.03762879,583
9.045984425,578
9.054340059,557
9.062695694,581
9.071051328,606
9.079406963,535
9.087762597,572
9.096118232,615
9.104473866,577
9.112829501,537
9.121185135,561
9.12954077,528
9.137896404,541
9.146252039,560
9.154607673,592
9.162963308,492
9.171318943,521
9.179674577,525
9.188030212,505
9.196385846,498
9.204741481,498
9.213097115,513
9.22145275,492
9.229808384,520
9.238164019,499
9.246519653,480
9.254875288,457
9.263230922,503
9.271586557,525
9.279942191,563
9.288297826,507
9.296653461,519
9.305009095,517
9.31336473,498
9.321720364,519
9.330075999,498
9.338431633,513
9.346787268,534
9.355142902,540
9.363498537,478
9.371854171,492
9.380209806,541
9.38856544,504
9.396921075,502
9.405276709,542
9.413632344,492
9.421987979,518
9.430343613,520
9.438699248,521
9.447054882,471
9.455410517,485
9.463766151,519
9.472121786,482
9.48047742,485
9.488833055,454
9.497188689,478
9.505544324,560
9.513899958,487
9.522255593,488
9.530611227,488
9.538966862,478
9.547322497,492
9.555678131,498
9.564033766,487
9.5723894,478
9.580745035,504
9.589100669,476
9.597456304,482
9.605811938,494
9.614167573,425
9.622523207,477
9.630878842,498
9.639234476,477
9.647590111,484
9.655945745,470
9.66430138,512
9.672657015,492
9.681012649,449
9.689368284,505
9.697723918,505
9.706079553,494
9.714435187,520
9.722790822,484
9.731146456,455
9.739502091,483
9.747857725,414
9.75621336,452
9.764568994,514
9.772924629,478
9.781280263,478
9.789635898,467
9.797991533,464
9.806347167,483
9.814702802,485
9.823058436,481
9.831414071,487
9.839769705,483
9.84812534,472
9.856480974,452
9.864836609,475
9.873192243,467
9.881547878,474
9.889903512,460
9.898259147,462
9.906614781,487
9.914970416,505
9.92332605,449
9.931681685,430
9.94003732,496
9.948392954,432
9.956748589,455
9.965104223,465
9.973459858,504
9.981815492,454
9.990171127,489
9.998526761,448
10.0068824,475
10.01523803,428
10.02359367,486
10.0319493,491
10.04030493,460
10.04866057,461
10.0570162,497
10.06537184,505
10.07372747,486
10.08208311,464
10.09043874,466
10.09879438,491
10.10715001,466
10.11550565,444
10.12386128,448
10.13221691,480
10.14057255,455
10.14892818,427
10.15728382,470
10.16563945,485
10.17399509,452
10.18235072,463
10.19070636,475
10.19906199,460
10.20741763,435
10.21577326,440
10.22412889,441
10.23248453,427
10.24084016,474
10.2491958,500
10.25755143,467
10.26590707,434
10.2742627,504
10.28261834,441
10.29097397,488
10.2993296,446
10.30768524,451
10.31604087,470
10.32439651,446
10.33275214,478
10.34110778,456
10.34946341,440
10.35781905,476
10.36617468,422
10.37453032,428
10.38288595,414
10.39124158,470
10.39959722,442
10.40795285,442
10.41630849,434
10.42466412,484
10.43301976,423
10.44137539,482
10.44973103,443
10.45808666,463
10.4664423,430
10.47479793,462
10.48315356,414
10.4915092,451
10.49986483,420
10.50822047,473
10.5165761,443
10.52493174,445
10.53328737,442
10.54164301,436
10.54999864,463
10.55835428,453
10.56670991,462
10.57506554,474
10.58342118,440
10.59177681,428
10.60013245,442
10.60848808,390
10.61684372,496
10.62519935,407
10.63355499,436
10.64191062,482
10.65026626,457
10.65862189,452
10.66697752,424
10.67533316,442
10.68368879,453
10.69204443,453
10.70040006,461
10.7087557,427
10.71711133,492
10.72546697,438
10.7338226,425
10.74217824,464
10.75053387,424
10.7588895,466
10.76724514,459
10.77560077,452
10.78395641,456
10.79231204,456
10.80066768,422
10.80902331,444
10.81737895,443
10.82573458,446
10.83409022,443
10.84244585,488
10.85080148,423
10.85915712,491
10.86751275,455
10.87586839,477
10.88422402,456
10.89257966,425
10.90093529,434
10.90929093,434
10.91764656,468
10.92600219,409
10.93435783,455
10.94271346,493
10.9510691,453
10.95942473,450
10.96778037,418
10.976136,451
10.98449164,423
10.99284727,445
11.00120291,407
11.00955854,440
11.01791417,472
11.02626981,412
11.03462544,444
11.04298108,413
11.05133671,456
11.05969235,417
11.06804798,435
11.07640362,466
11.08475925,392
11.09311489,448
11.10147052,386
11.10982615,446
11.11818179,440
11.12653742,424
11.13489306,409
11.14324869,398
11.15160433,436
11.15995996,389
11.1683156,432
11.17667123,431
11.18502687,449
11.1933825,410
11.20173813,442
11.21009377,434
11.2184494,411
11.22680504,445
11.23516067,390
11.24351631,406
11.25187194,424
11.26022758,410
11.26858321,412
11.27693885,411
11.28529448,433
11.29365011,431
11.30200575,464
11.31036138,422
11.31871702,461
11.32707265,409
11.33542829,428
11.34378392,406
11.35213956,463
11.36049519,416
11.36885083,420
11.37720646,457
11.38556209,408
11.39391773,423
11.40227336,414
11.410629,411
11.41898463,393
11.42734027,406
11.4356959,409
11.44405154,440
11.45240717,378
11.46076281,398
11.46911844,418
11.47747407,399
11.48582971,430
11.49418534,443
11.50254098,434
11.51089661,411
11.51925225,429
11.52760788,403
11.53596352,432
11.54431915,427
11.55267478,418
11.56103042,399
11.56938605,397
11.57774169,421
11.58609732,430
11.59445296,395
11.60280859,414
11.61116423,379
11.61951986,386
11.6278755,406
11.63623113,436
11.64458676,400
11.6529424,427
11.66129803,428
11.66965367,407
11.6780093,412
11.68636494,404
11.69472057,439
11.70307621,417
11.71143184,380
11.71978748,453
11.72814311,390
11.73649874,449
11.74485438,381
11.75321001,425
11.76156565,406
11.76992128,398
11.77827692,402
11.78663255,442
11.79498819,371
11.80334382,378
11.81169946,388
11.82005509,357
11.82841072,414
11.83676636,411
11.84512199,399
11.85347763,436
11.86183326,414
11.8701889,407
11.87854453,406
11.88690017,395
11.8952558,397
11.90361144,386
11.91196707,424
11.9203227,397
11.92867834,388
11.93703397,401
11.94538961,356
11.95374524,407
11.96210088,399
11.97045651,430
11.97881215,379
11.98716778,385
11.99552342,393
12.00387905,399
12.01223468,379
12.02059032,384
12.02894595,384
12.03730159,381
12.04565722,387
12.05401286,396
12.06236849,397
12.07072413,404
12.07907976,445
12.0874354,439
12.09579103,406
12.10414666,401
12.1125023,414
12.12085793,398
12.12921357,407
12.1375692,403
12.14592484,393
12.15428047,381
12.16263611,382
12.17099174,382
12.17934737,396
12.18770301,346
12.19605864,396
12.20441428,375
12.21276991,359
12.22112555,369
12.22948118,370
12.23783682,365
12.24619245,382
12.25454809,396
12.26290372,407
12.27125935,384
12.27961499,396
12.28797062,376
12.29632626,390
12.30468189,385
12.31303753,404
12.32139316,352
12.3297488,360
12.33810443,352
12.34646007,363
12.3548157,363
12.36317133,366
12.37152697,361
12.3798826,375
12.38823824,384
12.39659387,364
12.40494951,325
12.41330514,358
12.42166078,374
12.43001641,377
12.43837205,327
12.44672768,333
12.45508331,375
12.46343895,356
12.47179458,417
12.48015022,349
12.48850585,340
12.49686149,402
12.50521712,307
12.51357276,361
12.52192839,363
12.53028403,323
12.53863966,369
12.54699529,345
12.55535093,364
12.56370656,406
12.5720622,355
12.58041783,374
12.58877347,364
12.5971291,356
12.60548474,343
12.61384037,352
12.62219601,338
12.63055164,370
12.63890727,323
12.64726291,365
12.65561854,390
12.66397418,343
12.67232981,384
12.68068545,326
12.68904108,355
12.69739672,352
12.70575235,355
12.71410799,364
12.72246362,359
12.73081925,411
12.73917489,369
12.74753052,344
12.75588616,354
12.76424179,342
12.77259743,306
12.78095306,326
12.7893087,349
12.79766433,334
12.80601996,360
12.8143756,310
12.82273123,360
12.83108687,328
12.8394425,395
12.84779814,332
12.85615377,307
12.86450941,303
12.87286504,349
12.88122068,375
12.88957631,331
12.89793194,390
12.90628758,333
12.91464321,332
12.92299885,371
12.93135448,363
12.93971012,378
12.94806575,380
12.95642139,366
12.96477702,370
12.97313266,324
12.98148829,350
12.98984392,382
12.99819956,337
13.00655519,358
13.01491083,357
13.02326646,339
13.0316221,353
13.03997773,369
13.04833337,357
13.056689,361
13.06504464,318
13.07340027,333
13.0817559,336
13.09011154,404
13.09846717,322
13.10682281,382
13.11517844,380
13.12353408,430
13.13188971,421
13.14024535,396
13.14860098,358
13.15695662,336
13.16531225,370
13.17366788,364
13.18202352,379
13.19037915,323
13.19873479,342
13.20709042,360
13.21544606,338
13.22380169,312
13.23215733,308
13.24051296,334
13.2488686,321
13.25722423,346
13.26557986,368
13.2739355,340
13.28229113,325
13.29064677,346
13.2990024,324
13.30735804,345
13.31571367,339
13.32406931,333
13.33242494,323
13.34078057,303
13.34913621,361
13.35749184,305
13.36584748,335
13.37420311,324
13.38255875,352
13.39091438,301
13.39927002,346
13.40762565,315
13.41598129,334
13.42433692,342
13.43269255,305
13.44104819,344
13.44940382,339
13.45775946,347
13.46611509,349
13.47447073,364
13.48282636,354
13.491182,347
13.49953763,364
13.50789327,343
13.5162489,318
13.52460453,346
13.53296017,324
13.5413158,324
13.54967144,376
13.55802707,334
13.56638271,389
13.57473834,332
13.58309398,380
13.59144961,432
13.59980525,412
13.60816088,413
13.61651651,428
13.62487215,473
13.63322778,420
13.64158342,375
13.64993905,365
13.65829469,366
13.66665032,356
13.67500596,340
13.68336159,356
13.69171723,352
13.70007286,361
13.70842849,379
13.71678413,340
13.72513976,349
13.7334954,327
13.74185103,335
13.75020667,372
13.7585623,323
13.76691794,337
13.77527357,354
13.78362921,347
13.79198484,359
13.80034047,374
13.80869611,318
13.81705174,343
13.82540738,365
13.83376301,347
13.84211865,336
13.85047428,357
13.85882992,363
13.86718555,372
13.87554119,358
13.88389682,335
13.89225245,320
13.90060809,334
13.90896372,325
13.91731936,338
13.92567499,326
13.93403063,327
13.94238626,354
13.9507419,331
13.95909753,304
13.96745316,274
13.9758088,322
13.98416443,329
13.99252007,329
14.0008757,305
14.00923134,318
14.01758697,335
14.02594261,303
14.03429824,283
14.04265388,305
14.05100951,290
14.05936514,343
14.06772078,320
14.07607641,322
14.08443205,325
14.09278768,332
14.10114332,322
14.10949895,275
14.11785459,317
14.12621022,310
14.13456586,335
14.14292149,328
14.15127712,312
14.15963276,273
14.16798839,300
14.17634403,297
14.18469966,307
14.1930553,296
14.20141093,303
14.20976657,288
14.2181222,334
14.22647784,317
14.23483347,295
14.2431891,297
14.25154474,284
14.25990037,306
14.26825601,281
14.27661164,263
14.28496728,320
14.29332291,284
14.30167855,295
14.31003418,301
14.31838982,321
14.32674545,285
14.33510108,325
14.34345672,289
14.35181235,302
14.36016799,275
14.36852362,294
14.37687926,292
14.38523489,291
14.39359053,275
14.40194616,324
14.4103018,303
14.41865743,314
14.42701306,329
14.4353687,306
14.44372433,285
14.45207997,311
14.4604356,320
14.46879124,301
14.47714687,275
14.48550251,306
14.49385814,324
14.50221378,310
14.51056941,276
14.51892504,297
14.52728068,284
14.53563631,289
14.54399195,282
14.55234758,304
14.56070322,299
14.56905885,290
14.57741449,288
14.58577012,252
14.59412575,347
14.60248139,306
14.61083702,305
14.61919266,276
14.62754829,320
14.63590393,284
14.64425956,312
14.6526152,289
14.66097083,305
14.66932647,280
14.6776821,310
14.68603773,297
14.69439337,293
14.702749,302
14.71110464,308
14.71946027,290
14.72781591,315
14.73617154,291
14.74452718,327
14.75288281,275
14.76123845,281
14.76959408,294
14.77794971,281
14.78630535,283
14.79466098,301
14.80301662,279
14.81137225,314
14.81972789,261
14.82808352,292
14.83643916,305
14.84479479,301
14.85315043,315
14.86150606,290
14.86986169,302
14.87821733,307
14.88657296,311
14.8949286,299
14.90328423,286
14.91163987,327
14.9199955,329
14.92835114,322
14.93670677,315
14.94506241,307
14.95341804,325
14.96177367,305
14.97012931,294
14.97848494,311
14.98684058,297
14.99519621,286
15.00355185,300
15.01190748,297
15.02026312,304
15.02861875,291
15.03697439,293
15.04533002,288
15.05368565,310
15.06204129,290
15.07039692,289
15.07875256,292
15.08710819,295
15.09546383,284
15.10381946,257
15.1121751,286
15.12053073,289
15.12888637,299
15.137242,294
15.14559763,267
15.15395327,293
15.1623089,294
15.17066454,293
15.17902017,284
15.18737581,316
15.19573144,317
15.20408708,310
15.21244271,264
15.22079834,286
15.22915398,272
15.23750961,262
15.24586525,300
15.25422088,312
15.26257652,257
15.27093215,257
15.27928779,248
15.28764342,279
15.29599906,289
15.30435469,311
15.31271032,286
15.32106596,313
15.32942159,301
15.33777723,286
15.34613286,308
15.3544885,284
15.36284413,275
15.37119977,292
15.3795554,292
15.38791104,254
15.39626667,263
15.4046223,293
15.41297794,259
15.42133357,312
15.42968921,286
15.43804484,300
15.44640048,282
15.45475611,326
15.46311175,262
15.47146738,308
15.47982302,307
15.48817865,275
15.49653428,305
15.50488992,258
15.51324555,320
15.52160119,292
15.52995682,275
15.53831246,292
15.54666809,294
15.55502373,284
15.56337936,290
15.571735,291
15.58009063,332
15.58844626,284
15.5968019,313
15.60515753,290
15.61351317,318
