Angle,Intensity
5.99617782,818
6.004533455,849
6.012889089,829
6.021244724,905
6.029600358,885
6.037955993,885
6.046311627,843
6.054667262,867
6.063022896,837
6.071378531,815
6.079734165,872
6.0880898,794
6.096445434,798
6.104801069,839
6.113156703,836
6.121512338,844
6.129867973,846
6.138223607,858
6.146579242,851
6.154934876,789
6.163290511,843
6.171646145,847
6.18000178,784
6.188357414,805
6.196713049,792
6.205068683,797
6.213424318,816
6.221779952,764
6.230135587,811
6.238491221,764
6.246846856,734
6.255202491,807
6.263558125,777
6.27191376,803
6.280269394,740
6.288625029,793
6.296980663,786
6.305336298,848
6.313691932,807
6.322047567,786
6.330403201,786
6.338758836,836
6.34711447,730
6.355470105,774
6.363825739,709
6.372181374,766
6.380537009,723
6.388892643,776
6.397248278,743
6.405603912,707
6.413959547,747
6.422315181,712
6.430670816,757
6.43902645,713
6.447382085,795
6.455737719,748
6.464093354,761
6.472448988,679
6.480804623,718
6.489160257,716
6.497515892,736
6.505871527,698
6.514227161,747
6.522582796,693
6.53093843,704
6.539294065,737
6.547649699,710
6.556005334,715
6.564360968,679
6.572716603,679
6.581072237,678
6.589427872,681
6.597783506,725
6.606139141,747
6.614494775,651
6.62285041,707
6.631206045,662
6.639561679,669
6.647917314,637
6.656272948,655
6.664628583,668
6.672984217,642
6.681339852,677
6.689695486,678
6.698051121,662
6.706406755,648
6.71476239,676
6.723118024,659
6.731473659,641
6.739829293,667
6.748184928,637
6.756540563,653
6.764896197,664
6.773251832,654
6.781607466,662
6.789963101,648
6.798318735,626
6.80667437,636
6.815030004,675
6.823385639,654
6.831741273,625
6.840096908,649
6.848452542,683
6.856808177,652
6.865163811,625
6.873519446,646
6.88187508,578
6.890230715,636
6.89858635,597
6.906941984,613
6.915297619,577
6.923653253,668
6.932008888,621
6.940364522,654
6.948720157,633
6.957075791,673
6.965431426,636
6.97378706,578
6.982142695,598
6.990498329,637
6.998853964,587
7.007209598,633
7.015565233,602
7.023920868,640
7.032276502,587
7.040632137,654
7.048987771,558
7.057343406,626
7.06569904,583
7.074054675,526
7.082410309,608
7.090765944,601
7.099121578,585
7.107477213,617
7.115832847,583
7.124188482,584
7.132544116,597
7.140899751,604
7.149255386,564
7.15761102,579
7.165966655,561
7.174322289,549
7.182677924,577
7.191033558,551
7.199389193,561
7.207744827,573
7.216100462,570
7.224456096,571
7.232811731,600
7.241167365,592
7.249523,551
7.257878634,589
7.266234269,550
7.274589904,553
7.282945538,605
7.291301173,530
7.299656807,539
7.308012442,556
7.316368076,595
7.324723711,569
7.333079345,576
7.34143498,560
7.349790614,548
7.358146249,601
7.366501883,568
7.374857518,542
7.383213152,562
7.391568787,547
7.399924422,530
7.408280056,589
7.416635691,545
7.424991325,574
7.43334696,558
7.441702594,555
7.450058229,552
7.458413863,527
7.466769498,556
7.475125132,521
7.483480767,535
7.491836401,570
7.500192036,531
7.50854767,536
7.516903305,550
7.52525894,601
7.533614574,494
7.541970209,536
7.550325843,491
7.558681478,569
7.567037112,540
7.575392747,570
7.583748381,552
7.592104016,519
7.60045965,548
7.608815285,506
7.617170919,520
7.625526554,549
7.633882188,481
7.642237823,569
7.650593458,558
7.658949092,521
7.667304727,550
7.675660361,512
7.684015996,603
7.69237163,558
7.700727265,570
7.709082899,502
7.717438534,548
7.725794168,530
7.734149803,555
7.742505437,537
7.750861072,521
7.759216706,541
7.767572341,504
7.775927976,561
7.78428361,545
7.792639245,541
7.800994879,558
7.809350514,525
7.817706148,528
7.826061783,534
7.834417417,516
7.842773052,537
7.851128686,480
7.859484321,527
7.867839955,528
7.87619559,525
7.884551224,513
7.892906859,512
7.901262494,470
7.909618128,538
7.917973763,500
7.926329397,513
7.934685032,500
7.943040666,514
7.951396301,580
7.959751935,561
7.96810757,526
7.976463204,550
7.984818839,553
7.993174473,549
8.001530108,542
8.009885742,509
8.018241377,493
8.026597012,515
8.034952646,525
8.043308281,473
8.051663915,528
8.06001955,515
8.068375184,525
8.076730819,524
8.085086453,476
8.093442088,518
8.101797722,495
8.110153357,545
8.118508991,480
8.126864626,552
8.13522026,494
8.143575895,471
8.15193153,463
8.160287164,491
8.168642799,547
8.176998433,512
8.185354068,495
8.193709702,508
8.202065337,525
8.210420971,496
8.218776606,500
8.22713224,517
8.235487875,534
8.243843509,494
8.252199144,488
8.260554778,498
8.268910413,480
8.277266048,524
8.285621682,471
8.293977317,512
8.302332951,478
8.310688586,495
8.31904422,448
8.327399855,497
8.335755489,510
8.344111124,487
8.352466758,534
8.360822393,520
8.369178027,532
8.377533662,475
8.385889296,510
8.394244931,518
8.402600565,498
8.4109562,540
8.419311835,525
8.427667469,532
8.436023104,446
8.444378738,513
8.452734373,488
8.461090007,524
8.469445642,520
8.477801276,474
8.486156911,486
8.494512545,518
8.50286818,523
8.511223814,519
8.519579449,480
8.527935083,525
8.536290718,472
8.544646353,492
8.553001987,516
8.561357622,539
8.569713256,507
8.578068891,486
8.586424525,492
8.59478016,485
8.603135794,520
8.611491429,503
8.619847063,517
8.628202698,521
8.636558332,456
8.644913967,528
8.653269601,498
8.661625236,510
8.669980871,491
8.678336505,493
8.68669214,487
8.695047774,502
8.703403409,503
8.711759043,504
8.720114678,502
8.728470312,535
8.736825947,488
8.745181581,520
8.753537216,510
8.76189285,544
8.770248485,514
8.778604119,493
8.786959754,518
8.795315389,518
8.803671023,515
8.812026658,539
8.820382292,492
8.828737927,498
8.837093561,544
8.845449196,480
8.85380483,507
8.862160465,536
8.870516099,513
8.878871734,518
8.887227368,480
8.895583003,480
8.903938637,547
8.912294272,534
8.920649907,576
8.929005541,524
8.937361176,545
8.94571681,560
8.954072445,555
8.962428079,532
8.970783714,528
8.979139348,547
8.987494983,546
8.995850617,549
9.004206252,572
9.012561886,555
9.020917521,566
9.029273155,581
9.03762879,572
9.045984425,621
9.054340059,589
9.062695694,590
9.071051328,588
9.079406963,635
9.087762597,601
9.096118232,625
9.104473866,651
9.112829501,657
9.121185135,626
9.12954077,614
9.137896404,597
9.146252039,562
9.154607673,537
9.162963308,566
9.171318943,515
9.179674577,521
9.188030212,531
9.196385846,510
9.204741481,531
9.213097115,503
9.22145275,518
9.229808384,532
9.238164019,544
9.246519653,540
