Angle,Intensity
8.486156911,451
8.494512545,467
8.50286818,463
8.511223814,443
8.519579449,428
8.527935083,448
8.536290718,401
8.544646353,431
8.553001987,445
8.561357622,430
8.569713256,449
8.578068891,487
8.586424525,456
8.59478016,410
8.603135794,454
8.611491429,462
8.619847063,450
8.628202698,457
8.636558332,484
8.644913967,470
8.653269601,459
8.661625236,455
8.669980871,444
8.678336505,453
8.68669214,446
8.695047774,453
8.703403409,434
8.711759043,434
8.720114678,440
8.728470312,404
8.736825947,496
8.745181581,392
8.753537216,499
8.76189285,467
8.770248485,452
8.778604119,428
8.786959754,451
8.795315389,462
8.803671023,433
8.812026658,474
8.820382292,441
8.828737927,446
8.837093561,440
8.845449196,438
8.85380483,451
8.862160465,467
8.870516099,435
8.878871734,399
8.887227368,434
8.895583003,438
8.903938637,474
8.912294272,413
8.920649907,420
8.929005541,450
8.937361176,436
8.94571681,456
8.954072445,421
8.962428079,438
8.970783714,455
8.979139348,453
8.987494983,414
8.995850617,482
9.004206252,419
9.012561886,444
9.020917521,470
9.029273155,424
9.03762879,409
9.045984425,449
9.054340059,473
9.062695694,449
9.071051328,441
9.079406963,435
9.087762597,439
9.096118232,435
9.104473866,472
9.112829501,445
9.121185135,470
9.12954077,456
9.137896404,410
9.146252039,453
9.154607673,439
9.162963308,421
9.171318943,463
9.179674577,453
9.188030212,448
9.196385846,421
9.204741481,461
9.213097115,451
9.22145275,445
9.229808384,410
9.238164019,409
9.246519653,440
9.254875288,421
9.263230922,446
9.271586557,463
9.279942191,445
9.288297826,424
9.296653461,461
9.305009095,446
9.31336473,400
9.321720364,409
9.330075999,429
9.338431633,417
9.346787268,434
9.355142902,422
9.363498537,445
9.371854171,438
9.380209806,411
9.38856544,414
9.396921075,417
9.405276709,438
9.413632344,428
9.421987979,432
9.430343613,430
9.438699248,436
9.447054882,428
9.455410517,410
9.463766151,439
9.472121786,392
9.48047742,422
9.488833055,419
9.497188689,423
9.505544324,403
9.513899958,433
9.522255593,457
9.530611227,403
9.538966862,388
9.547322497,397
9.555678131,434
9.564033766,411
9.5723894,409
9.580745035,411
9.589100669,429
9.597456304,388
9.605811938,434
9.614167573,428
9.622523207,430
9.630878842,381
9.639234476,413
9.647590111,435
9.655945745,414
9.66430138,428
9.672657015,439
9.681012649,416
9.689368284,374
9.697723918,393
9.706079553,401
9.714435187,365
9.722790822,337
9.731146456,402
9.739502091,388
9.747857725,404
9.75621336,365
9.764568994,404
9.772924629,397
9.781280263,427
9.789635898,392
9.797991533,386
9.806347167,397
9.814702802,374
9.823058436,429
9.831414071,375
9.839769705,387
9.84812534,417
9.856480974,396
9.864836609,423
9.873192243,433
9.881547878,404
9.889903512,417
9.898259147,388
9.906614781,401
9.914970416,409
9.92332605,396
9.931681685,347
9.94003732,402
9.948392954,385
9.956748589,410
9.965104223,412
9.973459858,364
9.981815492,402
9.990171127,441
9.998526761,389
10.0068824,410
10.01523803,386
10.02359367,382
10.0319493,414
10.04030493,360
10.04866057,419
10.0570162,416
10.06537184,391
10.07372747,369
10.08208311,418
10.09043874,397
10.09879438,429
10.10715001,384
10.11550565,392
10.12386128,374
10.13221691,370
10.14057255,369
10.14892818,425
10.15728382,358
10.16563945,348
10.17399509,413
10.18235072,410
10.19070636,397
10.19906199,396
10.20741763,348
10.21577326,399
10.22412889,377
10.23248453,422
10.24084016,365
10.2491958,367
10.25755143,344
10.26590707,359
10.2742627,371
10.28261834,365
10.29097397,355
10.2993296,382
10.30768524,364
10.31604087,396
10.32439651,374
10.33275214,377
10.34110778,329
