Angle,Intensity
5.99617782,839
6.004533455,811
6.012889089,819
6.021244724,824
6.029600358,830
6.037955993,856
6.046311627,860
6.054667262,861
6.063022896,877
6.071378531,830
6.079734165,805
6.0880898,846
6.096445434,829
6.104801069,797
6.113156703,804
6.121512338,856
6.129867973,802
6.138223607,811
6.146579242,898
6.154934876,811
6.163290511,833
6.171646145,737
6.18000178,813
6.188357414,764
6.196713049,751
6.205068683,802
6.213424318,769
6.221779952,772
6.230135587,763
6.238491221,775
6.246846856,776
6.255202491,732
6.263558125,726
6.27191376,757
6.280269394,738
6.288625029,748
6.296980663,748
6.305336298,723
6.313691932,745
6.322047567,732
6.330403201,737
6.338758836,794
6.34711447,744
6.355470105,725
6.363825739,719
6.372181374,754
6.380537009,711
6.388892643,795
6.397248278,716
6.405603912,721
6.413959547,743
6.422315181,686
6.430670816,742
6.43902645,737
6.447382085,697
6.455737719,698
6.464093354,722
6.472448988,725
6.480804623,711
6.489160257,700
6.497515892,684
6.505871527,701
6.514227161,709
6.522582796,679
6.53093843,674
6.539294065,680
6.547649699,670
6.556005334,701
6.564360968,689
6.572716603,637
6.581072237,647
6.589427872,676
6.597783506,669
6.606139141,707
6.614494775,674
6.62285041,645
6.631206045,668
6.639561679,634
6.647917314,642
6.656272948,672
6.664628583,622
6.672984217,693
6.681339852,668
6.689695486,632
6.698051121,583
6.706406755,659
6.71476239,624
6.723118024,669
6.731473659,664
6.739829293,644
6.748184928,604
6.756540563,725
6.764896197,594
6.773251832,652
6.781607466,658
6.789963101,647
6.798318735,629
6.80667437,601
6.815030004,614
6.823385639,663
6.831741273,640
6.840096908,646
6.848452542,630
6.856808177,643
6.865163811,633
6.873519446,587
6.88187508,626
6.890230715,620
6.89858635,612
6.906941984,632
6.915297619,633
6.923653253,605
6.932008888,593
6.940364522,642
6.948720157,631
6.957075791,570
6.965431426,602
6.97378706,592
6.982142695,584
6.990498329,597
6.998853964,587
7.007209598,643
7.015565233,580
7.023920868,598
7.032276502,603
7.040632137,577
7.048987771,574
7.057343406,581
7.06569904,574
7.074054675,627
7.082410309,508
7.090765944,573
7.099121578,576
7.107477213,566
7.115832847,594
7.124188482,555
7.132544116,578
7.140899751,585
7.149255386,547
7.15761102,561
7.165966655,609
7.174322289,546
7.182677924,550
7.191033558,567
7.199389193,571
7.207744827,552
7.216100462,567
7.224456096,538
7.232811731,534
7.241167365,524
7.249523,545
7.257878634,540
7.266234269,562
7.274589904,561
7.282945538,583
7.291301173,524
7.299656807,549
7.308012442,545
7.316368076,555
7.324723711,517
7.333079345,559
7.34143498,524
7.349790614,584
7.358146249,562
7.366501883,546
7.374857518,534
7.383213152,549
7.391568787,510
7.399924422,566
7.408280056,584
7.416635691,567
7.424991325,557
7.43334696,480
7.441702594,507
7.450058229,559
7.458413863,510
7.466769498,553
7.475125132,548
7.483480767,534
7.491836401,550
7.500192036,514
7.50854767,545
7.516903305,507
7.52525894,505
7.533614574,591
7.541970209,531
7.550325843,516
7.558681478,578
7.567037112,517
7.575392747,515
7.583748381,576
7.592104016,508
7.60045965,512
7.608815285,529
7.617170919,527
7.625526554,500
7.633882188,519
7.642237823,581
7.650593458,514
7.658949092,519
7.667304727,517
7.675660361,564
7.684015996,535
7.69237163,523
7.700727265,468
7.709082899,503
7.717438534,505
7.725794168,482
7.734149803,560
7.742505437,487
7.750861072,485
7.759216706,526
7.767572341,496
7.775927976,520
7.78428361,553
7.792639245,585
7.800994879,497
7.809350514,553
7.817706148,514
7.826061783,532
7.834417417,520
7.842773052,540
7.851128686,487
7.859484321,476
7.867839955,510
7.87619559,518
7.884551224,539
7.892906859,524
7.901262494,521
7.909618128,579
7.917973763,489
7.926329397,521
7.934685032,472
7.943040666,512
7.951396301,538
7.959751935,556
7.96810757,547
7.976463204,539
7.984818839,514
7.993174473,544
8.001530108,505
8.009885742,477
8.018241377,502
8.026597012,471
8.034952646,518
8.043308281,499
8.051663915,504
8.06001955,492
8.068375184,483
8.076730819,510
8.085086453,495
8.093442088,483
8.101797722,517
8.110153357,487
8.118508991,467
8.126864626,541
8.13522026,483
8.143575895,493
8.15193153,545
8.160287164,494
8.168642799,526
8.176998433,496
8.185354068,508
8.193709702,474
8.202065337,510
8.210420971,476
8.218776606,515
8.22713224,502
8.235487875,541
8.243843509,483
8.252199144,503
8.260554778,515
8.268910413,502
8.277266048,497
